(13,),(45,),13
(45,),(13,),13
(10,),(33,),12
(10,),(29,),12
(29,),(40,),12
(29,),(10,),12
(33,),(10,),12
(40,),(29,),12
(9,),(25,),12
(25,),(9,),12
(11,),(27,),12
(16,),(19,),12
(19,),(16,),12
(19,),(27,),12
(19,),(31,),12
(21,),(27,),12
(27,),(11,),12
(27,),(19,),12
(27,),(21,),12
(31,),(19,),12
(8,),(25,),12
(25,),(39,),12
(25,),(8,),12
(37,),(39,),12
(39,),(37,),12
(39,),(25,),12
(25,),(44,),12
(33,),(44,),12
(44,),(33,),12
(44,),(25,),12
